,Pop,Raio_medio,std_R,tm,tm_std,tp,tp_std,I1,I2,I3,I4,I5,I6,I7,a,b,f=a+b/2,tetha,Excent,flong,sym,Conc
K0127,3,0.635047922525,0.243305839163,9.54203459423,0.197761157326,9.61642473363,0.0698790200383,0.590150057832,0.0178870859759,0.0204395937432,0.30546910121,0.000406779040029,0.0195675266296,0.00792377916045,34.2236517345,27.1747538922,30.6992028133,-0.0512825728133,0.20596568411,1.25781177059,0.464771322621,0.405209413975
K0127,4,0.663865895904,0.30752599698,9.54203459423,0.197761157326,9.77840426393,0.0797985825498,0.682170400854,0.187698782037,0.189502225627,0.55370713345,0.00494459704702,0.0149861158566,0.0184857404331,42.508450602,20.0814273941,31.294938998,-0.360322460252,0.527589758984,0.594908051516,0.683950617284,0.629092479811
K0128,1,0.816599562665,0.167021056194,9.41303663449,0.285086741864,9.01385490306,0.202150637713,0.88368303918,0.154098954768,0.290103336809,0.684079890016,-0.0333775015618,0.135110329179,-0.102321977275,42.1185236752,26.1279316506,34.1232276629,-0.248956144034,0.379656992441,0.662231581834,0.673381294964,0.186464249245
K0128,2,0.686152252426,0.239440290314,9.41303663449,0.285086741864,9.37262942902,0.0795739051374,0.672680198324,0.10545001809,0.0205366293063,0.551834918961,0.0163864832303,0.0858076736276,-0.00521658022978,37.2076108708,21.9762126817,29.5919117763,0.331277224518,0.409362435068,1.49296889729,0.0835734870317,0.33129659377
K0128,3,0.634099682193,0.236910262132,9.41303663449,0.285086741864,9.56826624227,0.0524006314565,0.583602554626,0.0856793401352,0.0303930527054,0.386110320992,0.014721092916,0.0550645891213,-0.00307320464516,34.8758124007,20.0937403445,27.4847763726,0.229834841581,0.423848823545,0.616271363477,0.982708933718,0.386028692459
K0128,4,0.563293880772,0.265557927051,9.41303663449,0.285086741864,9.69838231435,0.092010810458,0.494622581203,0.0996057337229,0.045611140532,0.393069021723,0.0110800919517,0.0471892188934,0.00559018470245,33.5107998976,15.7518279992,24.6313139484,0.411285114094,0.529947716936,1.59192339004,0.311688311688,0.493520256506
K0129,1,0.824369099513,0.203432138302,9.0465169189,0.314543298531,8.65248073151,0.0961304163082,0.917746724479,0.393786740022,0.247165541839,0.265319044254,-0.00618542767929,-0.037142861167,-0.00420691157325,35.6833759548,15.4642582238,25.5738170893,-0.222595065384,0.56662569586,0.486587627863,0.203883495146,0.209788750748
K0129,2,0.740453080314,0.378197522828,9.0465169189,0.314543298531,8.90709630468,0.0902745729339,0.87966584975,0.26570871672,0.0330809306178,0.0223108770179,-0.000778281472063,-0.00504526460006,-2.34071561112e-05,33.9056257469,17.3233329096,25.6144793283,-0.310890003778,0.489072018935,0.595589548109,0.529126213592,0.539229213462
K0129,3,0.93248791461,0.397618158576,9.0465169189,0.314543298531,9.16338220925,0.0653113416308,1.3141820345,1.34732697295,0.609160169425,1.19916603226,0.0088125520452,0.125641931859,0.0597259302208,45.0493004183,11.2169099312,28.1331051748,-0.269346636397,0.751008121612,0.370881867531,0.6,0.483715078217
K0129,4,0.547135606964,0.266485248447,9.0465169189,0.314543298531,9.46376547643,0.107703329044,0.472451619396,0.0711008732459,0.0988248636405,0.205556844275,0.0079591131615,0.0298030331262,-0.00699744727587,24.648315388,13.0065756762,18.8274455321,0.193625568412,0.472313808409,0.559950103467,0.676399026764,0.458145365937
K0130,1,0.770804715053,0.227813241794,8.93410202772,0.201273036015,8.67604635294,0.0774549873198,0.822618335864,0.0958218895391,0.186080352243,0.690445869084,0.030350275995,0.105610144866,0.106123383378,41.2922170036,27.7971085286,34.5446627661,0.217690934082,0.326819663713,1.42681359585,0.507304116866,0.25652146115
K0130,2,0.73473450476,0.204410324727,8.93410202772,0.201273036015,8.85279859658,0.0316128746931,0.740598473746,0.0378030863844,0.113935480793,0.28491244861,-0.00218110807491,-0.00937622359893,0.00522789436332,37.5253663484,28.6797748133,33.1025705808,-0.767370543811,0.23572298943,0.99058078665,0.770252324037,0.239317394209
K0130,3,0.710203541641,0.260568170483,8.93410202772,0.201273036015,9.03065867279,0.0405008066016,0.730608633673,0.266718625852,0.0933423612983,0.543146558865,0.0469065442993,0.170425655022,0.0066315192566,43.279084942,17.9351370817,30.6071110118,0.111753822108,0.585593431428,2.33171412856,0.537949400799,0.392716409412
K0130,4,0.504697783284,0.236102232182,8.93410202772,0.201273036015,9.17710560132,0.108703545288,0.395795608873,0.0236178408207,0.0131062792735,0.0837021216636,0.00031631816514,0.00782555025528,-0.0012915169124,28.7473959864,19.0824635593,23.9149297728,0.385905026588,0.336202013972,0.751413935192,0.904255319149,0.514515186664
K0131,1,0.960181528752,0.292649682912,9.27819043465,0.253029986561,9.02163132413,0.0670270149799,1.28137026239,1.19490584457,0.834635563182,6.6661751599,2.71194193211,2.31834567331,0.52411452747,48.2389676121,13.5826255932,30.9107966027,0.637336297583,0.718430425327,0.775470399634,0.922448979592,0.267722990909
K0131,2,0.747874241118,0.298054288041,9.27819043465,0.253029986561,9.1678868964,0.0381253596101,0.825862220382,0.230043931234,0.341832507403,0.946371532776,0.0511005312181,0.0771579671766,0.0342761457409,35.7319236289,18.4015253946,27.0667245117,-0.679404508565,0.485011621941,1.13066699138,0.891615541922,0.390600740932
